g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	
0	4	0.633284	34509.8	3053.83	0.0884518	0.144897	3881.9
0	2	1.07396	32389.2	7148.58	0.153569	0.133055	2467.66
0	1	2.31322	17066.2	6988.7	0.112881	0.195737	3508.63
0	10	4.50482	31080	5489.52	0.2467	0.133807	4541.14
0	8	7.68704	14896.4	4557.53	0.143447	0.250383	3367.64
0	3	8.70307	15925.8	6121.32	0.16987	0.205797	6990.18
0	5	16.6551	16711.7	2709.11	0.209134	0.297106	4073.99
0	7	19.5126	16144.2	3012.71	0.21389	0.126484	6081.77
0	6	26.362	14341.4	5041.77	0.256737	0.086152	5551.32
0	9	31.6191	13458.7	5365.12	0.276548	0.135156	5876.1
1	4	0.633284	31537.1	3359.21	0.0796066	0.144897	3493.71
1	2	1.07396	32389.2	7148.58	0.153569	0.133055	2467.66
1	1	2.31322	17066.2	6988.7	0.112881	0.195737	3508.63
1	24	3.27645	13422.8	7019.54	0.113698	0.135189	3474.8
1	22	3.4207	17903.6	7182.91	0.152328	0.133681	2460.51
1	10	4.50482	31080	5489.52	0.2467	0.133807	4541.14
1	21	5.04607	14985.9	7105.51	0.15323	0.131778	3355
1	8	7.68704	14896.4	4557.53	0.143447	0.250383	3367.64
1	30	8.6881	15870.7	6101.53	0.168877	0.203818	7027.55
1	3	8.70307	15925.8	6121.32	0.16987	0.205797	6990.18
2	4	0.507179	30243	3695.13	0.0716459	0.144897	3144.34
2	2	1.07396	32389.2	7148.58	0.153569	0.133055	2467.66
2	38	1.56499	31279	7099.5	0.153475	0.144555	3460.03
2	36	1.57218	34106.3	6100.73	0.154379	0.131321	1364.31
2	1	2.31322	17066.2	6988.7	0.112881	0.195737	3508.63
2	24	3.27645	13422.8	7019.54	0.113698	0.135189	3474.8
2	22	3.4207	17903.6	7182.91	0.152328	0.133681	2460.51
2	39	4.1766	13357.6	3362.57	0.0788574	0.144839	3481.58
2	10	4.50482	31080	5489.52	0.2467	0.133807	4541.14
2	21	5.04607	14985.9	7105.51	0.15323	0.131778	3355
3	4	0.361034	30152.2	4064.65	0.0657299	0.144897	2829.9
3	44	0.863012	31400.6	6969.06	0.112446	0.194843	3432.82
3	45	0.943223	30297.1	7018.22	0.111764	0.196815	3540.55
3	2	1.07396	32389.2	7148.58	0.153569	0.133055	2467.66
3	38	1.56499	31279	7099.5	0.153475	0.144555	3460.03
3	36	1.57218	34106.3	6100.73	0.154379	0.131321	1364.31
3	43	1.76287	17115.3	6977.08	0.113086	0.193928	2471.38
3	49	1.96841	13458.2	7147.09	0.0782529	0.134776	3495.16
3	1	2.31322	17066.2	6988.7	0.112881	0.195737	3508.63
3	42	2.67018	31375.6	3665.82	0.244968	0.145583	3175.47
