g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	p(5)	
0	34	0.000704445	21.1849	0.715521	67.6776	33.7281	0.423213	20.0122
0	33	0.000784213	5.52503	0.876408	81.7261	96.8211	0.197057	11.771
0	21	0.000916854	45.6778	0.687172	34.6934	57.3035	0.0848618	55.8439
0	7	0.000929781	33.1411	0.929997	25.182	14.661	0.890727	46.9468
0	6	0.00100271	25.559	0.534822	67.4261	44.3777	0.368449	23.0713
0	30	0.00102444	28.3343	0.9985	30.2206	80.2079	0.63816	24.6418
0	27	0.00109624	31.2882	0.196829	96.0363	3.1685	0.386311	3.36334
0	40	0.00114177	6.66613	0.766008	19.1449	74.2441	0.364305	39.34
0	2	0.00116222	37.945	0.526904	37.9936	72.8759	0.310409	9.16808
0	38	0.00131243	38.2742	0.621572	1.8044	76.6679	0.324518	82.0514
0	31	0.00143162	48.0558	0.759558	5.87931	94.5848	0.472218	41.947
0	26	0.00152787	68.0935	0.726768	3.76106	57.5951	0.0620673	21.8907
0	15	0.00152834	45.8532	0.307084	3.72745	91.9228	0.256755	52.806
0	12	0.00154612	66.1831	0.0446409	86.5556	69.1444	0.0148991	5.47976
0	35	0.00158097	74.7177	0.97246	51.5416	18.0129	0.238374	32.0469
0	23	0.0016114	29.4388	0.621791	96.1337	41.2935	0.721313	9.33568
0	20	0.00163255	18.6032	0.0960846	43.8653	61.6215	0.124996	51.167
0	32	0.00165072	56.3936	0.847293	97.6844	68.0856	0.688667	93.2298
0	29	0.0016703	74.9497	0.542732	69.1162	24.8903	0.183339	85.7337
0	37	0.00185806	26.5725	0.255795	91.5275	86.0442	0.738188	75.4142
0	42	0.00187483	72.3152	0.60833	67.7949	25.3748	0.462295	86.8139
0	14	0.00190984	73.1483	0.772305	66.1694	82.7819	0.880482	3.06236
0	16	0.00192413	63.1841	0.499699	31.0764	75.0638	0.776819	2.13714
0	1	0.00194532	85.9477	0.415741	22.8566	77.0081	0.243472	48.7605
0	45	0.00198174	90.8093	0.843284	16.576	30.9195	0.300099	12.0391
0	4	0.00203384	25.2065	0.161323	36.9506	26.3498	0.261319	4.2318
0	28	0.00204252	95.2096	0.587165	80.804	15.0441	0.407042	11.3762
0	3	0.00207594	7.46321	0.719455	48.5182	21.0583	0.439204	72.6072
0	39	0.00208185	95.5001	0.389483	10.0514	96.9119	0.809756	34.2685
0	41	0.00210223	92.5647	0.353572	54.577	48.1247	0.184874	77.729
0	36	0.00212623	88.7685	0.669769	52.1033	24.6609	0.546283	1.60004
0	48	0.00214543	96.3248	0.7185	15.9609	47.2728	0.385506	82.8943
0	5	0.00217509	49.4618	0.242178	17.5273	58.4281	0.558267	7.68957
0	49	0.00229848	8.27415	0.0871459	40.9266	62.3623	0.86762	0.847903
0	47	0.00230415	72.5034	0.202899	28.6445	75.2042	0.939513	66.8108
0	11	0.00236512	55.6786	0.214569	97.2325	66.7468	0.893723	38.4195
0	25	0.00238806	93.1476	0.459144	62.9625	33.2651	0.515096	6.01759
0	8	0.00242246	52.4547	0.284115	20.8243	20.3979	0.609082	26.7666
0	13	0.00243026	98.0016	0.207895	37.3342	71.2126	0.835643	82.3827
0	17	0.0024865	85.8579	0.0285313	88.7988	63.6415	0.243434	2.44392
0	46	0.00274764	71.6243	0.441637	78.7727	37.3541	0.994112	25.9284
0	10	0.00287287	30.526	0.35444	67.3531	31.6752	0.917194	60.3704
0	24	0.00300511	98.15	0.0760399	17.7531	53.3794	0.423586	89.4691
0	18	0.00302168	13.1096	0.181936	38.8442	49.874	0.673519	58.5032
0	9	0.0030386	34.6772	0.0861384	81.2204	14.8384	0.261637	54.6003
0	50	0.00307243	91.6178	0.303636	43.2087	34.6076	0.85835	34.0368
0	22	0.00337959	83.9739	0.0447844	81.4244	52.7614	0.875755	61.7312
0	44	0.0040228	48.052	0.109527	89.1544	32.4448	0.810109	10.7709
0	19	0.00494318	82.4653	0.0318548	44.8773	23.0867	0.339456	55.7124
0	43	0.0105264	2.64033	0.62001	24.0437	6.80392	0.741546	79.7533
1	34	0.000704445	19.0664	0.787073	60.9098	30.3553	0.380892	18.011
1	33	0.000784213	5.52503	0.876408	81.7261	96.8211	0.197057	11.771
1	205	0.00090467	45.6518	0.687197	34.5888	46.8937	0.0845912	55.354
1	21	0.000916854	45.6778	0.687172	34.6934	57.3035	0.0848618	55.8439
1	211	0.000922211	38.0403	0.0450676	85.9772	73.2093	0.0150474	5.42968
